TimeT,TimeS,Mx,My,Px,Py,Cx,Cy,Cio,CtimeT,CtimeS,Gx,Gy,Gnum,PMDist
00:00.7130,0.7130226,-4.289773,-0.5397728,-4.531544,-0.3053957,0,0,None,00:00.0000,0,0,0,0,0.3367279
00:00.7290,0.7285366,-4.119318,-0.7102272,-4.389543,-0.3947123,0,0,None,00:00.0000,0,0,0,0,0.4154163
00:00.7450,0.7452361,-3.977273,-0.7386363,-4.330145,-0.4598141,0,0,None,00:00.0000,0,0,0,0,0.4497341
00:00.7600,0.7604262,-3.806818,-0.7670453,-4.288219,-0.5368386,0,0,None,00:00.0000,0,0,0,0,0.5336125
00:00.7770,0.7771596,-3.494318,-0.7670453,-4.124043,-0.6893079,0,0,None,00:00.0000,0,0,0,0,0.6345048
00:00.7980,0.7981904,-3.295455,-0.7670453,-3.966146,-0.7237878,0,0,None,00:00.0000,0,0,0,0,0.672085
00:00.8180,0.8183249,-3.181818,-0.7102272,-3.690258,-0.7586243,0,0,None,00:00.0000,0,0,0,0,0.510738
00:00.8350,0.8353953,-2.982955,-0.5681819,-3.334935,-0.7662032,0,0,triggerEnter,00:00.0000,0,-3.084935,-0.7662032,2,0.4038595
00:00.8350,0.8353953,-2.982955,-0.5681819,-3.405757,-0.7648014,0,0,None,00:00.0000,0,0,0,0,0.466284
00:00.8520,0.8516678,-2.840909,-0.4829547,-3.245635,-0.7316927,0,0,None,00:00.0000,0,0,0,0,0.4750511
00:00.8690,0.869375,-2.556818,-0.3409091,-3.048512,-0.6109586,0,0,None,00:00.0000,0,0,0,0,0.5609713
00:00.8920,0.8916827,-2.301137,-0.2840909,-2.86167,-0.4957551,0,0,None,00:00.0000,0,0,0,0,0.599165
00:00.9180,0.9178184,-2.215909,-0.2556819,-2.86167,-0.4957551,0,0,None,00:00.0000,0,0,0,0,0.6889421
00:00.9330,0.9334885,-2.073864,-0.1988637,-2.471419,-0.3483917,0,0,None,00:00.0000,0,0,0,0,0.4247456
00:00.9510,0.9511839,-2.017045,-0.1704547,-2.25132,-0.2690168,0,0,None,00:00.0000,0,0,0,0,0.2541637
00:00.9670,0.9667156,-1.960227,-0.1420453,-2.12343,-0.2204547,0,0,None,00:00.0000,0,0,0,0,0.1810606
00:00.9870,0.987012,-1.903409,-0.1420453,-2.064562,-0.1930062,0,0,None,00:00.0000,0,0,0,0,0.1690184
